id,fna,gna,nam,tip,act,dir,bar,com,tel,ema,web,fab,ins,sag,geometry
4,Club Agrupacion San Jorge,Club,Agrupacion San Jorge,Sede,Boxeo - Fútbol Femenino - Fútbol Infantil - Gimnasio de Musculación - Aeróbica - Actividades Culturales,Vilela 3340,Saavedra,12,4542-0585,,,,2 Canchas de Cesped y Tierra - Cancha Polideportiva de Cemento - Natatorio descubierto - Solarium Recreativo - Parrillas - Sum,Secretaría de Deportes,POINT (18494.2563618741 78872.7673515932)
6,Club Aleman de Equitacion,Club,Aleman de Equitacion,Sede,Volteo - Equitacion - Salto,Dorrego Av. 4045,Palermo,14,4772-6289,caehipico@hotmail.com,www.clubalemandeequitacion.com,club alemán de equitación,Pistas - Caballerizas - Pista Cubierta - Natatorio - Boxes - Parque - Vallas - Confiterias - Salon de Eventos,Secretaría de Deportes,POINT (24270.199046163518 77348.60130047212)
8,Club Almagro Asociacion Civil,Club,Almagro Asociacion Civil,Central,Básquet - Gimnasia con Aparatos - Natación - Artes Marciales - Baby Fútbol - Patín - Vóley,Medrano Av. 522,Almagro,5,5408-0053,info@clubalmagro.com.ar,www.clubalmagro.com.ar,almagro  equipo deportivo,"1 Cancha Futsal - 3 Salones - Natatorio - Tambien Estadio 3 de Febrero Situado en la Localidad Argentina de José Ingenieros, en el Partido de Tres de Febrero, en la Provincia de Buenos Aires",Secretaría de Deportes,POINT (23848.45282553129 72750.07432018532)
16,Club Asociacion Atletica Argentinos Juniors Estadio Diego Armando Maradona,Club,Asociacion Atletica Argentinos Juniors Estadio Diego Armando Maradona,Estadio,Colonia de Vacaciones - Fútbol,Gavilan 2151,Villa Gral. Mitre,11,4581-1243,,https://www.argentinosjuniors.com.ar/,https://www.facebook.com/aaajoficial,Estadio - Museo,Secretaría de Deportes,POINT (19108.499338660953 72550.35318694686)
17,Club Asociacion Atletica Argentinos Juniors Central Polideportivo las Malvinas,Club,Asociacion Atletica Argentinos Juniors Central Polideportivo las Malvinas,Central,Bochas - Básquet - Boxeo - Colonia de Vacaciones - Escuela de Fútbol - Gimnasia - Hándball - Hockey Sobre Patínes - Judo - Natación - Patín - Taekwondo - Vóley - Yoga,Punta Arenas 1271,Paternal,15,4551-6887 / 4552-5603,,https://www.argentinosjuniors.com.ar/,https://www.facebook.com/aaajoficial,"Pista de Patin, 4 Natatorios (2 Cubiertos), Gimnasio para Box, Canchas de Bochas, Canchas de Paddle, Cancha de Handball, Cancha de Hockey, Cancha de Basquet, Cancha de Fútbol.",Secretaría de Deportes,POINT (19412.692452663952 74223.6913034972)
18,Club Asociacion Atletica Argentinos Juniors Estadio Microestadio Malvinas Argentinas,Club,Asociacion Atletica Argentinos Juniors Estadio Microestadio Malvinas Argentinas,Estadio,,Gutenberg 350,Paternal,15,4552-5603/4551-6887,,https://www.argentinosjuniors.com.ar/,https://www.facebook.com/aaajoficial,,Secretaría de Deportes,POINT (19251.272414212974 74144.60869822682)
19,Club Asociacion Atletica Argentinos Juniors Anexo Deportivo Complejo Futbolistico,Club,Asociacion Atletica Argentinos Juniors Anexo Deportivo Complejo Futbolistico,Anexo Deportivo,Colonia de Vacaciones - Fútbol,Lafuente Av. 2105,Villa Soldati,8,,,https://www.argentinosjuniors.com.ar/,https://www.facebook.com/aaajoficial,"Complejo Futbolístico: Centro de entrenamiento y Formación del Futbol Amateur (C.E.F.F.A.) un Predio de Primer Nivel. de Lunes A Viernes Asisten Más de 350 Chicos, desde la Reserva Hasta las Categorías Menores de Infantiles. el Personal Se Compone de",Secretaría de Deportes,POINT (21172.08749287245 67297.1734114479)
22,Club Asociacion Bancaria,Club,Asociacion Bancaria,Sede Administrativa,Ajedrez - Básquet - Bowling - Fútbol - Golf - Pesca - Tenis - Tiro - Vóley,"Maipu 62, 3º 0f 17",San Nicolas,1,4343-6126 / 4342-2117,abadargentina@gmail.com,www.abadargentina.com.ar,asociacion bancaria argentina de deportes,"Sin Instalaciones, Utilizan Instalaciones de Asociaciones y Clubes Miembros",Secretaría de Deportes,POINT (27947.040530066115 72418.73940034326)
33,Club Asociacion Civil Sin Fines de Lucro Golf Lagos de Palermo,Club,Asociacion Civil Sin Fines de Lucro Golf Club Lagos de Palermo,Sede,Golf,"Tornquist, Ernesto Av. 6397",Palermo,14,4774-5108,,,,Campo de Golf,Secretaría de Deportes,POINT (22633.36654523805 77874.0752093707)
38,Club Asociacion Cristiana de Jovenes de La Republica Argentina Sede Parque,Club,Asociacion Cristiana de Jovenes de La Republica Argentina Sede Parque,Sede,Aerolocal y Acuática - Aikido - Aquafitness - Aquagym - Aquamoving - Básquet Femenino - Básquet Masculino - Bicicleta - Boxeo Recreativo - Buceo - Circuit - Colonia de Vacaciones - Escalada en Roca - Escuela de Natación Adultos - Escuela de Natación,Lafuente Av. 2480,Villa Soldati,8,4918-3244,ymca@ymca.org.ar,www.ymca.org.ar,ymca argentina,3 Gimnasios - 2 Natatorios - 2 Canchas - 3 Salones,Secretaría de Deportes,POINT (21541.62822746736 67003.79885928723)
